Supergroup,Group,Object name,Object ID number,Quantity,Part number,Serial number,Donor/Lender/Vendor/Transfer Party,Acquisition method,Object lot ID,DGS paid,Transfer date,Delivery date,Current location,Accessioned?,ITAR status,ITAR code,Owned by/Loaned to,Item value,Insurance value,Insurance method,Notes
"","","Space X Dragon Unmanned Space Capsule","2015.99.48","1","","","SpaceX","transfer","SpaceX Dragon","","2017 April 28","","SpaceX","","yes","XV, a, f","Foundation","$ 1,125,000.00","","","Width: 54 ft with solar panels; Height: 13 ft (capsule only)"
"","","Large Telescope Mirror","2015.99.49","0","","","","","","","","","CSC -> Phase I -> 1st floor -> Exhibit Shop","","","","","","","","Kathy sent EVD dimensions on 6/10/15
https://www.dropbox.com/sh/5wxj9c5k642jta9/AAA1akfyLmq-H8USFkP6N5Fra?dl=0"
"","","Soujourner Mars Pathfinder Rover Model","2015.99.52","0","","","","","","","","","","","","","","","","","http://mars.jpl.nasa.gov/MPF/newspio/pkts/mpfland2.pdf

Current location: NASA JPL"
"","","CubeSats","2015.99.53","0","","","","","","","","","","","","","","","","","http://tyvak.com/intrepid-suite-1-1/
https://en.wikipedia.org/wiki/CubeSat

Current Location: Irvine, CA"
"","","SRB O-ring","2015.99.54","0","","","","","","","","","CSC -> Phase II -> 4th floor -> Dennis Jenkins' office","","","","","","","",""
"Acquisitions from NASA/GSA","NASA T-38","Northrop T-38 Talon","2015.99.67","1","","59-1603","NASA JSC","DGS","Distribution Document: T23373","$ 3,904.02","2015 January 5","2015 June 2","Torrance Airport -> WMoF","yes","no","","Foundation","$ 43,378.00","$ 50,000.00","Foundation","Insured value to repay GSA/DGS if complete loss"
"","","Pratt and Whitney Propeller","2015.99.72","1","","","United Technologies Hamilton Standard","","","","","","CSC -> WAB -> garage -> Upjohn","","","","","","","","in-person measurement in storage bag on 4/17/15, unwrapped from storage bag on 4/20/15"
"Donations from private sources","High Altitude Suit","Mark II, Mod O, full pressure suit, torso","1988.17.1","1","","","Oscar J. Mifsud","gift","Mark II High-Altitude Flight Suit","","","","CSC -> WAB -> garage -> Upjohn","","","","Foundation","","","","SUIT FULL PRESSURE // HIGH ALTITUDE MK II MOD. O // UNIT: BODY SECTION  SIZE: // LARGE  SHORT // STOCK NO. RL37GD-G-199-20- L S // MFG'D. BY THE B. F. GOODRICH CO. // CONTRACT NO. N156-33828 // BUREAU OF AERONAUTICS // U. S. NAVY // 5580"
"","","Aft attach nut &amp; washer (OV-ET)","2015.99.79","2","","","","","","","","","CSC -> Phase II -> 4th floor -> Dennis Jenkins' office","","","","","","","","Location: Status TBD. Dennis has some in his office, but they may be needed to assemble stack."
"Acquisitions from private sources","Vampire","Vampire: flight logs, manuals, and magazine articles","2015.99.78","19","","","Timothy F. McKernan","purchase","Vampire","","2015 March 12","2015 April 3","CSC -> WAB -> garage -> Upjohn -> row I -> column I1 -> shelf I1.F","","","","Foundation","","","","Included with purchase of de Havilland Vampire aircraft. There is an engine log that is in German, from the Swiss.   Seller doesn't believe it necessarily goes with the aircraft, but may belong to another Vampire."
"","","Prandtl Wing","2015.99.80","1","","","","","","","","","NASA AFRC -> Building 4801 -> Model Shop","","","","","","","","pending donation agreement with NASA Armstrong"
"","","J58 engine","2015.99.81","1","","","","","","","","","NASA AFRC","","","","","","","","pending loan agreement with NASA Armstrong"
"","","Northrop Grumman Global Hawk AV-6","2015.99.82","1","","","","","","","","","NASA AFRC -> Main aircraft hangar (4802)","","","","","","","","pending donation agreement with NASA Armstrong"
"Donations from private sources","High Altitude Suit","Mark II, Mod O, full pressure suit, boot (right)","1988.17.2a","0","","","Oscar J. Mifsud","gift","Mark II High-Altitude Flight Suit","","","","","","","","Foundation","","","","SUIT FULL PRESSURE // OMNI-ENVIRONMENT MK II MOD O // UNIT: FOOT SECTION SIZE 9D // STOCK NO. RL37GD-E-166-20(?) // MFG'D BY THE B. F. GOODRICH CO. // CONTRACT NO. N136-33828(?) // BUREAU OF AERONAUTICS // U. S. NAVY"
"Donations from private sources","High Altitude Suit","Mark II, Mod O, full pressure suit, boot (left)","1988.17.2b","0","","","Oscar J. Mifsud","gift","Mark II High-Altitude Flight Suit","","","","","","","","Foundation","","","","SUIT FULL PRESSURE // OMNI-ENVIRONMENT MK II MOD O // UNIT: FOOT SECTION SIZE 9D // STOCK NO. RL37GD-E-166-20 // MFG'D BY THE B. F. GOODRICH CO. // CONTRACT NO. N136-33828 // BUREAU OF AERONAUTICS // U. S. NAVY"
"Donations from private sources","High Altitude Suit","Mark III, Mod I, full pressure suit, glove (right)","1988.17.3","0","","","Oscar J. Mifsud","gift","Mark II High-Altitude Flight Suit","","","","","","","","Foundation","","","","270 // SUIT FULL PRESSURE // HIGH ALTITUDE  MK III  MOD. I // UNIT: HAND SECTION  X LARGE LONG(?) // STOCK NO. NL3200-3220503X X-LL(?) // MFG'D BY THE B. F. GOODRICH CO. // CONTRACT NO. N-156-32280(?) // BUREAU OF AERONAUTICS // U. S. NAVY"
"Donations from private sources","High Altitude Suit","Mark IV, Mod 1, Type I, full pressure suit, glove (left)","1988.17.4","0","","","Oscar J. Mifsud","gift","Mark II High-Altitude Flight Suit","","","","","","","","Foundation","","","","SUIT, HIGH ALTITUDE (handwritten) N2 // FULL PRESSURE, MK IV // UNIT: GLOVE    SIZE LARGE SHORT // STOCK NO. RD8475-786-8568-LF50 // TYPE: MK IV MOD 1 TYPE I // THE B.F. GOODRICH CO. AKRON, OHIO // CONTRACT NO. N383-67713A // DATE OF MFG. // SPECIFICATION: MIL-S-21395A(WEP) // U.S. NAVY"
"Donations from private sources","High Altitude Suit","Mark III, Mod I, full pressure suit, helmet","1988.17.6b","0","","","Oscar J. Mifsud","gift","Mark II High-Altitude Flight Suit","","","","","","","","Foundation","","","","1485 // COVERALLS, LIGHT WEIGHT, // FULL PRESSURE // UNIT: HEADPIECE, TYPE 1-B SPECIAL //  // TYPE MK III MOD I // MFG'D. BY THE B F GOODRICH CO. // CONTRACT NO N156-38396 // BUREAU OF AERONAUTICS // U. S. NAVY"
"Donations from private sources","High Altitude Suit","Mark II High-Altitude Flight Suit","1988.17.1-4,6b","1","","","Oscar J. Mifsud","gift","Mark II High-Altitude Flight Suit","","","","CSC -> WAB -> garage -> Upjohn","","","","Foundation","$ 10,000.00","$ 10,000.00","Foundation","The suit is made up of 6 parts, and not all are Mark II items. For convenience, they are listed separately (1988.17.1, 1988.17.2a, 1988.17.2b, 1988.17.3 1988.17.4, 1988.17.6b), which together make up the suit (1988.17.1-4,6b). Only the torso and boots are Mark II designs. The helmet and right glove are Mark III designs, while the left glove is a Mark IV design. In the past, this suit was erroneously identified as a Mark IV suit.

The Mark II suit was obtained by Gene Allen, in March 1985, from the B.F. Goodrich Company, with the assistance of Oscar Mifsud, General Manager, Engineered Rubber Products."
"Donations from private sources","Winglet","MD-12 wind tunnel model with winglet","2016.99.02","1","","LB-246","The Boeing Company","gift","Winglet","","2016 September 19","2016 November 4","CSC -> Air and Space bldg -> 1st floor -> open storage area","","","","Foundation","$ 50,000.00","$ 50,000.00","Foundation","crate contains 1 starboard wing with 1 (removable) conventional wingtip and 4 (removable) winglets"
"","","X-30","2016.99.901","0","","","","","","","","","","","","","","","","",""
"","","External Airlock","2016.99.903","0","","","","","","","","","","","","","","","","",""
"","","Corning Window","2016.99.904","0","","","","","","","","","","","","","","","","",""
"","","Sleeve with layers","2016.99.906","0","","","","","","","","","","","","","","","","",""
"","","Aerospace Corps space debris showing micrometeorite impact","2016.99.907","0","","","","","","","","","","","","","","","","",""
"","","Gemini Spacesuit","2016.99.908","0","","","","","","","","","","","","","","","","",""
"","","Keck Model","2016.99.910","0","","","","","","","","","","","","","","","","",""
"","","Space Debris","2016.99.911","0","","","","","","","","","","","","","","","","",""
"Donations from private sources","Ranger","Lunar Probe, Mock-up","2015.99.45.0","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","","internal mockup w/ omni antenna, but w/o outer shroud (shroud removed to 2015.99.45 final spacecraft artifact)"
"Donations from private sources","Ranger","box for earth sensor (empty)","2015.99.45.1","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","","wooden box with handle; various pieces meant to hold sensor in place
"
"Donations from private sources","Ranger","Shroud template, -y","2015.99.45.3a","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","shroud template","2015.99.45.3b","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Shroud template, +y","2015.99.45.3c","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Shroud template, w/ hole","2015.99.45.3d","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Red shroud, -y","2015.99.45.3e","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Red shroud, +y","2015.99.45.3f","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Sheet metal","2015.99.45.3g","4","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","High-gain antenna","2015.99.45.4a","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Crate and ground support equipment","2015.99.45.4b","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","","2015.99.45.4a high-gain antenna stored inside; needs attached to 2015.99.45 final spacecraft artifact
"
"Donations from private sources","Ranger","Green box for gamma ray boom hardware","2015.99.45.5","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Gamma ray boom, ball and stick","2015.99.45.5a","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Boom w/ cloth cover","2015.99.45.5b","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Thin bent metal","2015.99.45.5c","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Thin bent copper","2015.99.45.5d","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","square nuts and bolts","2015.99.45.5e","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Small screws","2015.99.45.5f","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Micro switch for cable disper gamma ray boom","2015.99.45.5g","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Black angle brackets","2015.99.45.5h","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Hemispheres","2015.99.45.5i","3","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Cylinder joints","2015.99.45.5k","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Boom, matte finish","2015.99.45.5l","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Ball &amp; stick w/ ribbon wires","2015.99.45.5m","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Fat cylinder","2015.99.45.5n","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Boom cylinder","2015.99.45.5o","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Black cylindrical collar","2015.99.45.5p","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Boom w/ black collar in cloth","2015.99.45.5q","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Boom, omni antenna and cabling","2015.99.45.6","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Miscellaneous parts - coaxial wires","2015.99.45.7","100","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","","about 100 parts; coaxial wires"
"Donations from private sources","Ranger","Miscellaneous parts - thermal shields, foil covered material","2015.99.45.8","40","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","","about 40 parts; thermal shields, foil covered material
"
"Donations from private sources","Ranger","Covering for electrical gear, wires","2015.99.45.9a","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","","outside covering for electronic gear, all incomplete; some gold &amp; chome painted and white painted
"
"Donations from private sources","Ranger","Covering for electrical gear","2015.99.45.9b","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","","wiring harness and internal electrical box, but w/o silver box (silver box moved to 2015.99.45 final spacecraft artifact)
"
"Donations from private sources","Ranger","Gold cases/covering","2015.99.45.9c","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Covering for electrical gear","2015.99.45.9d","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","","antenna control/command control/cloth cover + electrical box mounted inside from 2015.99.45.9c case"
"Donations from private sources","Ranger","Omni antenna (cone type)","2015.99.45.10","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","","small cone shaped antenna with point"
"Donations from private sources","Ranger","Box for cylindrical omni antenna (empty)","2015.99.45.11","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","","green box (cylindrical omni antenna moved to 2015.99.45 final spacecraft artifact)"
"Donations from private sources","Ranger","Miscellaneous parts (e.g. temp transducers)","2015.99.45.12","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Earth sensor sun shield, unwrapped","2015.99.45.13a","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Earth sensor sun shield, in plastic bag","2015.99.45.13b","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Sun sensor, squarish","2015.99.45.13c","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","","3 sun sensors
"
"Donations from private sources","Ranger","Red box for earth sensor","2015.99.45.14","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","","box contains 2015.99.45.22 solar panel switches (earth sensor moved to 2015.99.45 final spacecraft artifact)"
"Donations from private sources","Ranger","Antenna drive, attached to brass plate","2015.99.45.15","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","","stored in 2015.99.45.20 box for antenna drive
"
"Donations from private sources","Ranger","Solar panel supports","2015.99.45.16","5","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Solar panel actuators","2015.99.45.17","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","","All the actuators have fluid loss that has now coated each of them"
"Donations from private sources","Ranger","Miscellaneous hardware","2015.99.45.18","33","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","","switch shields (x8), hyd timer assy, space craft mount bolts (x2), switch adapter systems test (x2), mylar tape double tape (x2), timer lock (x2), timer bolts (x2), press hdw (x2), switch wafer tool (x2), load dist hdw (x2), thermal control washers (x2), O-rings (x2), brackets "
"Donations from private sources","Ranger","Box for antenna drive","2015.99.45.20","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","",""
"Donations from private sources","Ranger","Box for antenna drive (empty)","2015.99.45.21","1","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","","plywood box, written on masking tape on lid exterior ""7A19 S/N 13 Gear Box""
"
"Donations from private sources","Ranger","Solar panel switch","2015.99.45.22","2","","","Smithsonian NASM","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","","","","","Foundation","","","","moved to 2015.99.45.14 red box
"
"Donations from private sources","Ranger","Miscellaneous parts (from Cal Poly SLO)","2015.99.45.25","2","","","CalPoly SLO","transfer","Ranger CalPoly SLO","","2015 July 2","2015 August 3","CSC -> Air and Space bldg -> 1st floor -> open storage area;   CSC -> Air and Space bldg -> 1st floor -> Discovery room","","","","Foundation","","","","bus structures were originally transferred from Smithsonian NASM, but are stored in this crate with many parts from CalPoly SLO // contents: tower skin screws; antenna stops w/ screws; hydraulic timer assembly (rusted); battery case (box 24); 2 aluminum covers for attitude control panels; misc hardware for s/c bus, wire and connector harnessing; cable clamps; misc cabling, w/ gas jets and sun sensors attached; camera tower apron; misc s/c bus screws, washers, nuts; A/C gas panel screws; separation device screws; connector caps
"
"","","hold-down bolt and intact nut (SRB-MLP)","2016.99.915","2","","","","","","","","","CSC -> Phase II -> 4th floor -> Dennis Jenkins' office","","","","","","","",""
"","","urine funnel","2015.99.32a","2","","","","","","","","","CSC -> WAB -> garage -> Upjohn -> row I -> column I1 -> shelf I1.E","","","","","","","","dimensions are for one (1) funnel; weight is preliminary; voucher #121984"
"","","urinal cap","2015.99.32b","2","","","","","","","","","CSC -> WAB -> garage -> Upjohn -> row I -> column I1 -> shelf I1.E","","","","","","","","although these caps are labeled as ""male,"" they do not seem to fit onto male urine funnels;
dimensions are for one (1) cap; weight is preliminary; voucher #121984"
"","","female urinal cap","2015.99.32c","2","","","","","","","","","CSC -> WAB -> garage -> Upjohn -> row I -> column I1 -> shelf I1.E","","","","","","","","dimensions are for one (1) cap; weight is preliminary; voucher #121984"
"","","toilet tissue","2015.99.32d","4","","","","","","","","","CSC -> WAB -> garage -> Upjohn -> row I -> column I1 -> shelf I1.E","","","","","","","","dimensions are for one (1) dispenser; weight is preliminary; voucher #121984"
"","","dry wipes","2015.99.32e","2","","","","","","","","","CSC -> WAB -> garage -> Upjohn -> row I -> column I1 -> shelf I1.E","","","","","","","","dimensions are for one (1) dispenser; weight is preliminary; voucher #121984"
"","","towel","2015.99.32f","3","","","","","","","","","CSC -> WAB -> garage -> Upjohn -> row I -> column I1 -> shelf I1.E","","","","","","","","dimensions are for one (1) folded towel, as shown in picture; weight is preliminary; voucher #121984"
"","","washcloth","2015.99.32g","2","","","","","","","","","CSC -> WAB -> garage -> Upjohn -> row I -> column I1 -> shelf I1.E","","","","","","","","dimensions are for one (1) folded washcloth, as shown in photo; weight is preliminary; voucher #121984"
"","","emesis bag","2015.99.32h","1","","","","","","","","","CSC -> Phase II -> 4th floor -> Perry Roth-Johnson's office","","","","","","","","not intended for display; dimensions are for rolled up emesis bag inside protective plastic ziploc bag; property tag says ""Removed from DFRC SCOBAG""; voucher #121984"
"Acquisitions from NASA/GSA","Orbiter TPS Blanket","Orbiter TPS blanket","2017.99.01","1","","","NASA HQ","transfer","Transfer Order: 930015450","","","","CSC -> WAB -> garage -> Upjohn -> bin B","","yes","XV, e","Foundation","","","",""
"","","framed photo KSC launch team STS-99","2017.99.02","1","","","","","","","","","CSC -> WAB -> garage -> Upjohn -> bin B","","","","","","","",""
"","","framed photo Endeavour maiden flight STS-49","2017.99.03","1","","","","","","","","","CSC -> WAB -> garage -> Upjohn -> bin B","","","","","","","",""
"","","propeller race prototype parts","2017.99.04","3","","","","","","","","","CSC -> Air and Space bldg -> 1st floor -> Discovery room","","","","","","","","1 metal frame assembly, 1 plastic box, 1 cardboard box; stored on the floor near Ride a Wing prototype parts"
"","","rheoscopic fluid","2017.99.05","8","","","","","","","","","CSC -> WAB -> garage -> Upjohn -> row I -> column I2 -> shelf I2.E;   CSC -> WAB -> garage -> Upjohn -> row I -> column I2 -> shelf I2.F;   CSC -> WAB -> garage -> Upjohn -> row I -> column I3 -> shelf I3.E;   CSC -> WAB -> garage -> Upjohn -> row I -> column I3 -> shelf I3.F","","","","","","","","30 gallons (usually 4 1-gallon bottles in each box) of fluid for flow viz in the Flying with Flow exhibit; keep stored in a cool dry place"
"","","JSC best wishes banners","2017.99.06","2","","","","","","","","","CSC -> Air and Space bldg -> 1st floor -> Discovery room","","","","","","","","signed banners for Endeavour's stopover in Houston at NASA JSC; stored in box ""Pallet #5"" on picnic table in Discovery room in Gehry building"
"","","space shuttle flags","2017.99.07","10","","","","","","","","","CSC -> WAB -> garage -> Upjohn -> row I -> column I2 -> shelf I2.D","","","","","","","",""
"","","framed Boeing mural","2017.99.08","1","","","","","","","","","CSC -> WAB -> garage -> Upjohn -> bin B","","","","","","","",""
"","","F-106 wing navigation light retainers","2017.99.09","2","","","","","","","","","CSC -> WAB -> garage -> Upjohn -> row I -> column I1 -> shelf I1.F","","","","","","","","holds navigation lights in the wingtips of an F-106, will need to be installed during restoration work"
"","","Gemini 8 heat shield plug","2017.99.10","1","","","","","","","","","CSC -> WAB -> garage -> Upjohn -> row I -> column I1 -> shelf I1.E","","","","","","","",""
